"unigram","bigram","trigram","freq"
"guy","friends","steal",20
"has","become","a",20
"have","gone","to",20
"have","to","ask",20
"headphones","are","messed",20
"here","are","a",20
"here","for","a",20
"hmm","well","what",20
"homecoming","and","halloween",20
"how","to","get",20
"i","grew","up",20
"i","have","always",20
"i","have","ever",20
"i","should","just",20
"i","started","working",20
"i","think","my",20
"i","was","rather",20
"i","wasnt","planning",20
"i","would","never",20
"if","you","ask",20
"im","working","on",20
"in","a","movie",20
"in","florida","it",20
"in","new","york",20
"in","person","like",20
"in","the","city",20
"in","the","way",20
"in","the","west",20
"in","the","works",20
"ipod","and","take",20
"is","a","need",20
"is","able","to",20
"is","insanely","hot",20
"is","the","only",20
"isnt","quite","as",20
"issue","with","the",20
"it","as","an",20
"it","can","also",20
"it","do","you",20
"it","is","insanely",20
"it","is","no",20
"it","scared","the",20
"it","up","and",20
"its","cold","as",20
"its","friday","everyone",20
"its","not","what",20
"jayz","brush","ya",20
"jordanyoung","sextesting","of",20
"just","blasted","because",20
"life","is","the",20
"like","a","savage",20
"like","for","me",20
"like","jayz","brush",20
"lost","all","my",20
"love","to","all",20
"make","it","a",20
"manifestation","of","notion",20
"many","of","us",20
"me","back","to",20
"meant","to","be",20
"more","of","an",20
"my","guy","friends",20
"my","headphones","are",20
"my","ipod","and",20
"my","programs","very",20
"needless","to","say",20
"not","the","actual",20
"notion","of","privacy",20
"now","do","like",20
"now","that","i",20
"of","course","i",20
"of","course","the",20
"of","notion","of",20
"of","olympic","athletes",20
"of","privacy","as",20
"of","the","city",20
"of","the","outside",20
"of","their","crotch",20
"of","their","pants",20
"of","us","at",20
"of","whiteness","maleness",20
"off","stay","one",20
"office","ordered","tickets",20
"olympic","athletes","as",20
"omg","the","fucking",20
"on","my","head",20
"ordered","tickets","in",20
"outside","of","their",20
"people","who","are",20
"person","like","a",20
"pictures","of","their",20
"post","and","i",20
"privacy","as","privilege",20
"privilege","of","whiteness",20
"pro","public","speaking",20
"programs","very","pro",20
"public","speaking","sometimes",20
"quickly","became","one",20
"rebecca","jordanyoung","sextesting",20
"right","back","at",20
"rt","apparently","i",20
"safe","and","have",20
"salt","and","pepper",20
"savage","from","the",20
"sextesting","of","olympic",20
"she","quickly","became",20
"should","have","gone",20
"shouldas","off","stay",20
"so","far","i",20
"so","if","you",20
"sometimes","buildings","dont",20
"speak","for","themselves",20
"speaking","sometimes","buildings",20
"steal","my","ipod",20
"take","pictures","of",20
"taking","care","of",20
"that","is","amazing",20
"that","is","most",20
"that","it","doesnt",20
"that","was","a",20
"the","actual","thing",20
"the","age","of",20
"the","attitude","of",20
"the","bottom","of",20
"the","box","office",20
"the","day","come",20
"the","fucking","volume",20
"the","most","versatile",20
"the","outside","of",20
"the","potential","for",20
"the","time","i",20
"the","united","nations",20
"their","crotch","not",20
"there","are","two",20
"thing","but","of",20
"think","my","headphones",20
"think","we","all",20
"this","is","an",20
"this","is","where",20
"this","sunday","on",20
"tickets","in","person",20
"to","call","you",20
"to","do","some",20
"to","get","back",20
"to","get","this",20
"to","get","your",20
"to","live","in",20
"to","see","if",20
"twitter","accounts","with",20
"up","and","it",20
"use","it","as",20
"very","pro","public",20
"volume","just","blasted",20
"wait","for","the",20
"was","a","big",20
"wasnt","planning","on",20
"we","are","on",20
"we","love","you",20
"we","should","be",20
