"unigram","bigram","freq"
"in","it",34
"in","no",34
"in","response",34
"in","with",34
"is","i",34
"is","such",34
"ive","got",34
"keep","me",34
"love","is",34
"making","me",34
"my","last",34
"not","going",34
"not","much",34
"not","really",34
"now","my",34
"of","new",34
"on","board",34
"people","say",34
"point","of",34
"post","and",34
"r","u",34
"response","to",34
"she","gets",34
"the","front",34
"the","stuff",34
"the","team",34
"the","week",34
"the","white",34
"then","the",34
"they","say",34
"thing","to",34
"things","are",34
"this","means",34
"thought","it",34
"to","everyone",34
"to","spend",34
"use","of",34
"watch","it",34
"will","try",34
"with","this",34
"women","in",34
"world","is",34
"yet","i",34
"you","how",34
"your","life",34
"a","beast",33
"a","fire",33
"a","night",33
"a","perfect",33
"about","your",33
"across","the",33
"am","not",33
"america","and",33
"and","take",33
"and","tell",33
"and","where",33
"are","some",33
"by","this",33
"care","of",33
"dont","get",33
"everyone","else",33
"from","our",33
"glad","to",33
"guess","i",33
"he","says",33
"heard","of",33
"help","from",33
"her","and",33
"her","life",33
"here","i",33
"hi","hi",33
"i","finished",33
"i","make",33
"i","shouldnt",33
"id","be",33
"is","looking",33
"led","by",33
"long","time",33
"mothers","day",33
"next","year",33
"of","each",33
"of","how",33
"on","in",33
"only","the",33
"or","more",33
"or","whatever",33
"reading","a",33
"some","point",33
"th","of",33
"that","makes",33
"that","of",33
"that","your",33
"the","entire",33
"the","hotel",33
"the","ones",33
"the","true",33
"the","works",33
"there","but",33
"they","want",33
"this","blog",33
"this","i",33
"to","listen",33
"to","replace",33
"to","them",33
"to","think",33
"to","those",33
"up","this",33
"us","and",33
"wake","up",33
"water","and",33
"way","it",33
"we","dont",33
"were","a",33
"will","take",33
"work","in",33
"you","might",33
"your","hands",33
"a","strong",32
"about","what",32
"an","interview",32
"an","issue",32
"and","when",32
"anything","to",32
"asked","him",32
"be","great",32
"been","in",32
"bout","to",32
"bruno","mars",32
"come","from",32
"dealing","with",32
"didnt","know",32
"do","have",32
"do","like",32
"doing","the",32
"done","and",32
"dont","see",32
"everything","i",32
"for","michael",32
"for","these",32
"gave","up",32
"get","better",32
"gift","card",32
"group","of",32
"her","in",32
"here","the",32
"home","and",32
"i","hear",32
"i","refuse",32
"if","this",32
"ill","take",32
"is","only",32
"it","for",32
"its","like",32
"its","only",32
"just","come",32
"just","for",32
"just","trying",32
"last","years",32
"leave","the",32
"life","and",32
"making","a",32
"man","i",32
"me","like",32
"me","want",32
"michael","miller",32
"moved","to",32
"new","people",32
"new","show",32
"not","look",32
"not","what",32
"not","yet",32
